game_id,competition_id,season,round,date,home_club_id,away_club_id,home_club_goals,away_club_goals,home_club_position,away_club_position,home_club_manager_name,away_club_manager_name,stadium,attendance,referee,url,home_club_formation,away_club_formation,home_club_name,away_club_name,aggregate,competition_type,home_n_goals,home_n_assists,home_n_yellow_cards,home_n_red_cards,home_n_minutes_played,home_performance_score,away_n_goals,away_n_assists,away_n_yellow_cards,away_n_red_cards,away_n_minutes_played,away_performance_score
3047577,FR1,2018,12. Matchday,2018-11-02,583,1082,2,1,1.0,3.0,Thomas Tuchel,Christophe Galtier,Parc des Princes,47549.0,François Letexier,https://www.transfermarkt.co.uk/paris-saint-germain_losc-lille/index/spielbericht/3047577,3-5-2,4-2-3-1,Paris Saint-Germain Football Club,Lille Olympique Sporting Club Lille Métropole,2:1,domestic_league,0.3333333333333333,0.3333333333333333,1.0,0.0,0.5218550106609807,8.972636815920398,0.16666666666666666,0.0,1.5,0.0,0.5202558635394456,8.950248756218905
3050250,GB1,2018,9. Matchday,2018-10-20,631,985,2,2,3.0,10.0,Maurizio Sarri,José Mourinho,Stamford Bridge,40721.0,Mike Dean,https://www.transfermarkt.co.uk/chelsea-fc_manchester-united/index/spielbericht/3050250,4-3-3,4-3-3,Chelsea Football Club,Manchester United Football Club,2:2,domestic_league,0.3333333333333333,0.16666666666666666,1.0,0.0,0.5202558635394456,8.783582089552239,0.3333333333333333,0.16666666666666666,2.5,0.0,0.5202558635394455,10.283582089552239
3081306,IT1,2018,28. Matchday,2019-03-17,5,46,2,3,4.0,3.0,Gennaro Gattuso,Luciano Spalletti,Giuseppe Meazza,77749.0,Marco Guida,https://www.transfermarkt.co.uk/ac-milan_inter-milan/index/spielbericht/3081306,4-3-3,4-3-3,Associazione Calcio Milan,Football Club Internazionale Milano S.p.A.,2:3,domestic_league,0.3333333333333333,0.16666666666666666,2.0,0.0,0.5202558635394456,9.783582089552239,0.5,0.3333333333333333,1.0,0.0,0.5207889125799573,9.124378109452735
3203613,L1,2019,21. Matchday,2020-02-09,27,23826,0,0,1.0,2.0,Hansi Flick,Julian Nagelsmann,Allianz Arena,75000.0,Marco Fritz,https://www.transfermarkt.co.uk/bayern-munich_rb-leipzig/index/spielbericht/3203613,4-3-3,5-4-1,FC Bayern München,RasenBallsport Leipzig,0:0,domestic_league,0.0,0.0,1.0,0.0,0.5202558635394456,8.283582089552239,0.0,0.0,1.0,0.0,0.5207889125799573,8.291044776119403
3429717,GB1,2020,23. Matchday,2021-02-07,31,281,1,4,4.0,1.0,Jürgen Klopp,Pep Guardiola,Anfield,0.0,Michael Oliver,https://www.transfermarkt.co.uk/liverpool-fc_manchester-city/index/spielbericht/3429717,4-3-3,4-3-3,Liverpool Football Club,Manchester City Football Club,1:4,domestic_league,0.16666666666666666,0.0,1.0,0.0,0.5202558635394456,8.450248756218905,0.6666666666666666,0.5,0.5,0.0,0.6082089552238805,8.965174129353233
3429777,GB1,2020,29. Matchday,2021-03-04,31,631,0,1,8.0,4.0,Jürgen Klopp,Thomas Tuchel,Anfield,0.0,Martin Atkinson,https://www.transfermarkt.co.uk/liverpool-fc_chelsea-fc/index/spielbericht/3429777,4-3-3,3-4-2-1,Liverpool Football Club,Chelsea Football Club,0:1,domestic_league,0.0,0.0,0.0,0.0,0.5202558635394456,7.2835820895522385,0.16666666666666666,0.16666666666666666,0.0,0.0,0.5207889125799573,7.624378109452735
3429848,GB1,2020,36. Matchday,2021-05-12,631,11,0,1,4.0,9.0,Thomas Tuchel,Mikel Arteta,Stamford Bridge,0.0,Andre Marriner,https://www.transfermarkt.co.uk/chelsea-fc_arsenal-fc/index/spielbericht/3429848,3-4-2-1,3-4-2-1,Chelsea Football Club,Arsenal Football Club,0:1,domestic_league,0.0,0.0,0.0,0.0,0.5202558635394456,7.2835820895522385,0.16666666666666666,0.16666666666666666,0.5,0.0,0.5202558635394456,8.11691542288557
3589332,FR1,2021,21. Matchday,2022-01-16,244,1082,1,1,3.0,8.0,Jorge Sampaoli,Jocelyn Gourvennec,Orange Vélodrome,5034.0,Amaury Delerue,https://www.transfermarkt.co.uk/olympique-marseille_losc-lille/index/spielbericht/3589332,4-3-3,4-4-2,Olympique de Marseille,Lille Olympique Sporting Club Lille Métropole,1:1,domestic_league,0.16666666666666666,0.16666666666666666,0.5,0.0,0.5608495981630309,8.124378109452735,0.16666666666666666,0.16666666666666666,2.5,0.0,0.4898720682302771,9.691542288557212
3614831,IT1,2021,31. Matchday,2022-04-03,506,46,0,1,4.0,3.0,Massimiliano Allegri,Simone Inzaghi,Allianz Stadium,40093.0,Massimiliano Irrati,https://www.transfermarkt.co.uk/juventus-fc_inter-milan/index/spielbericht/3614831,4-2-3-1,3-5-2,Juventus Football Club,Football Club Internazionale Milano S.p.A.,0:1,domestic_league,0.0,0.0,2.0,1.0,0.45429104477611937,10.26865671641791,0.16666666666666666,0.16666666666666666,2.0,0.0,0.45475746268656714,9.609452736318406
3837840,GB1,2022,3. Matchday,2022-08-22,985,31,2,1,14.0,16.0,Erik ten Hag,Jürgen Klopp,Old Trafford,76000.0,Michael Oliver,https://www.transfermarkt.co.uk/manchester-united_liverpool-fc/index/spielbericht/3837840,4-2-3-1,4-3-3,Manchester United Football Club,Liverpool Football Club,2:1,domestic_league,0.3333333333333333,0.3333333333333333,1.5,0.0,0.45429104477611937,9.435323383084576,0.16666666666666666,0.0,0.5,0.0,0.5202558635394455,7.950248756218905
3838704,GB1,2022,29. Matchday,2023-04-01,281,31,4,1,2.0,7.0,Pep Guardiola,Jürgen Klopp,Etihad Stadium,52877.0,Simon Hooper,https://www.transfermarkt.co.uk/manchester-city_liverpool-fc/index/spielbericht/3838704,3-4-2-1,4-3-3,Manchester City Football Club,Liverpool Football Club,4:1,domestic_league,0.6666666666666666,0.5,0.5,0.0,0.5608495981630309,8.957711442786069,0.16666666666666666,0.16666666666666666,0.5,0.0,0.45429104477611937,8.101990049751242
3050180,GB1,2018,2. Matchday,2018-08-18,631,11,3,2,3.0,17.0,Maurizio Sarri,Unai Emery,Stamford Bridge,40491.0,Martin Atkinson,https://www.transfermarkt.co.uk/chelsea-fc_arsenal-fc/index/spielbericht/3050180,4-3-3,4-2-3-1,Chelsea Football Club,Arsenal Football Club,3:2,domestic_league,0.5,0.5,0.0,0.0,0.5202558635394456,8.283582089552239,0.3333333333333333,0.16666666666666666,1.0,0.0,0.5202558635394455,8.783582089552239
3194825,GB1,2019,1. Matchday,2019-08-11,985,631,4,0,2.0,19.0,Ole Gunnar Solskjaer,Frank Lampard,Old Trafford,73620.0,Anthony Taylor,https://www.transfermarkt.co.uk/manchester-united_chelsea-fc/index/spielbericht/3194825,4-2-3-1,4-2-3-1,Manchester United Football Club,Chelsea Football Club,4:0,domestic_league,0.6666666666666666,0.5,1.5,0.0,0.5202558635394456,9.950248756218905,0.0,0.0,2.0,0.0,0.5202558635394455,9.283582089552239
3219135,GB1,2019,29. Matchday,2020-03-08,985,281,2,0,5.0,2.0,Ole Gunnar Solskjaer,Pep Guardiola,Old Trafford,73288.0,Mike Dean,https://www.transfermarkt.co.uk/manchester-united_manchester-city/index/spielbericht/3219135,5-3-2,4-3-3,Manchester United Football Club,Manchester City Football Club,2:0,domestic_league,0.3333333333333333,0.16666666666666666,1.0,0.0,0.5202558635394456,8.783582089552239,0.0,0.0,2.0,0.0,0.5202558635394456,9.283582089552239
3219249,GB1,2019,24. Matchday,2020-01-21,631,11,2,2,4.0,10.0,Frank Lampard,Mikel Arteta,Stamford Bridge,40577.0,Stuart Attwell,https://www.transfermarkt.co.uk/chelsea-fc_arsenal-fc/index/spielbericht/3219249,4-3-3,4-2-3-1,Chelsea Football Club,Arsenal Football Club,2:2,domestic_league,0.3333333333333333,0.3333333333333333,1.0,0.0,0.5202558635394456,8.950248756218905,0.3333333333333333,0.3333333333333333,0.5,1.0,0.4781859931113662,8.383084577114428
3394715,FR1,2020,16. Matchday,2020-12-20,1082,583,0,0,1.0,3.0,Christophe Galtier,Thomas Tuchel,Decathlon Arena-Stade Pierre-Mauroy,0.0,François Letexier,https://www.transfermarkt.co.uk/losc-lille_paris-saint-germain/index/spielbericht/3394715,4-2-3-1,3-4-2-1,Lille Olympique Sporting Club Lille Métropole,Paris Saint-Germain Football Club,0:0,domestic_league,0.0,0.0,0.0,0.0,0.5202558635394456,7.2835820895522385,0.0,0.0,1.0,0.0,0.45429104477611937,8.26865671641791
3591995,GB1,2021,3. Matchday,2021-08-28,281,11,5,0,7.0,20.0,Pep Guardiola,Mikel Arteta,Etihad Stadium,52276.0,Martin Atkinson,https://www.transfermarkt.co.uk/manchester-city_arsenal-fc/index/spielbericht/3591995,4-3-3,5-4-1,Manchester City Football Club,Arsenal Football Club,5:0,domestic_league,0.8333333333333333,0.6666666666666666,0.5,0.0,0.5202558635394456,9.283582089552239,0.0,0.0,1.0,1.0,0.4909381663113006,8.873134328358208
3838735,GB1,2022,26. Matchday,2023-03-05,31,985,7,0,7.0,3.0,Jürgen Klopp,Erik ten Hag,Anfield,53001.0,Andrew Madley,https://www.transfermarkt.co.uk/liverpool-fc_manchester-united/index/spielbericht/3838735,4-3-3,4-2-3-1,Liverpool Football Club,Manchester United Football Club,7:0,domestic_league,1.1666666666666665,0.9999999999999999,1.0,0.0,0.45429104477611937,10.435323383084576,0.0,0.0,1.5,0.0,0.45429104477611937,8.76865671641791
3047533,FR1,2018,8. Matchday,2018-09-30,1082,244,3,0,2.0,6.0,Christophe Galtier,Rudi Garcia,Decathlon Arena-Stade Pierre-Mauroy,41623.0,Mikael Lesage,https://www.transfermarkt.co.uk/losc-lille_olympique-marseille/index/spielbericht/3047533,4-2-3-1,4-2-3-1,Lille Olympique Sporting Club Lille Métropole,Olympique de Marseille,3:0,domestic_league,0.5,0.16666666666666666,0.5,0.0,0.5207889125799573,8.457711442786069,0.0,0.0,1.5,0.0,0.5202558635394456,8.783582089552239
4095356,GB1,2023,28. Matchday,2024-03-10,31,281,1,1,2.0,3.0,Jürgen Klopp,Pep Guardiola,Anfield,59947.0,Michael Oliver,https://www.transfermarkt.co.uk/liverpool-fc_manchester-city/index/spielbericht/4095356,4-3-3,3-4-2-1,Liverpool Football Club,Manchester City Football Club,1:1,domestic_league,0.16666666666666666,0.0,0.0,0.0,0.5202558635394455,7.450248756218905,0.16666666666666666,0.16666666666666666,1.5,0.0,0.5202558635394456,9.11691542288557
3219186,GB1,2019,27. Matchday,2020-02-22,631,148,2,1,4.0,6.0,Frank Lampard,José Mourinho,Stamford Bridge,40608.0,Michael Oliver,https://www.transfermarkt.co.uk/chelsea-fc_tottenham-hotspur/index/spielbericht/3219186,5-4-1,5-4-1,Chelsea Football Club,Tottenham Hotspur Football Club,2:1,domestic_league,0.3333333333333333,0.16666666666666666,0.5,0.0,0.5608495981630309,8.291044776119401,0.0,0.0,1.0,0.0,0.5202558635394456,8.283582089552239
3858320,ES1,2022,6. Matchday,2022-09-18,13,418,1,2,7.0,1.0,Diego Simeone,Carlo Ancelotti,Civitas Metropolitano,66881.0,José Luis Munuera Montero,https://www.transfermarkt.co.uk/atletico-de-madrid_real-madrid/index/spielbericht/3858320,3-5-2,4-3-3,Club Atlético de Madrid S.A.D.,Real Madrid Club de Fútbol,1:2,domestic_league,0.16666666666666666,0.16666666666666666,2.0,0.0,0.45429104477611937,9.601990049751244,0.3333333333333333,0.16666666666666666,1.0,0.0,0.4850746268656716,8.776119402985074
4095283,GB1,2023,21. Matchday,2024-01-14,985,148,2,2,8.0,5.0,Erik ten Hag,Ange Postecoglou,Old Trafford,73489.0,John Brooks,https://www.transfermarkt.co.uk/manchester-united_tottenham-hotspur/index/spielbericht/4095283,4-2-3-1,4-3-3,Manchester United Football Club,Tottenham Hotspur Football Club,2:2,domestic_league,0.3333333333333333,0.16666666666666666,1.0,0.0,0.5202558635394456,8.783582089552239,0.3333333333333333,0.3333333333333333,0.5,0.0,0.5202558635394455,8.450248756218905
3838233,GB1,2022,15. Matchday,2022-11-06,148,31,1,2,5.0,7.0,Antonio Conte,Jürgen Klopp,Tottenham Hotspur Stadium,62008.0,Andrew Madley,https://www.transfermarkt.co.uk/tottenham-hotspur_liverpool-fc/index/spielbericht/3838233,3-5-2,4-3-3,Tottenham Hotspur Football Club,Liverpool Football Club,1:2,domestic_league,0.16666666666666666,0.16666666666666666,0.0,0.0,0.5202558635394456,7.6169154228855716,0.3333333333333333,0.16666666666666666,0.0,0.0,0.4855721393034826,7.7835820895522385
3886564,ES1,2022,23. Matchday,2023-02-25,418,13,1,1,2.0,4.0,Carlo Ancelotti,Diego Simeone,Santiago Bernabéu,64721.0,Jesús Gil Manzano,https://www.transfermarkt.co.uk/real-madrid_atletico-de-madrid/index/spielbericht/3886564,4-3-3,4-4-2,Real Madrid Club de Fútbol,Club Atlético de Madrid S.A.D.,1:1,domestic_league,0.16666666666666666,0.16666666666666666,1.5,0.0,0.45429104477611937,9.101990049751242,0.16666666666666666,0.16666666666666666,1.5,1.0,0.4421641791044776,9.907960199004973
3050453,GB1,2018,29. Matchday,2019-03-02,148,11,1,1,3.0,6.0,Mauricio Pochettino,Unai Emery,Wembley Stadium,81332.0,Anthony Taylor,https://www.transfermarkt.co.uk/tottenham-hotspur_arsenal-fc/index/spielbericht/3050453,3-4-1-2,4-2-3-1,Tottenham Hotspur Football Club,Arsenal Football Club,1:1,domestic_league,0.16666666666666666,0.0,1.5,0.0,0.5608495981630309,8.957711442786069,0.16666666666666666,0.16666666666666666,1.0,1.0,0.5202558635394456,9.61691542288557
